ISO_639	Language_Name	Uninverted_Name	Country_Code	Country_Name	Region_Code	Region_Name	Area	L1_Users	Digits	All_Users	Countries	Family	Classification	Latitude	Longitude	EGIDS	Is_Written	Institutional	Developing	Vigorous	In_Trouble	Dying	Extinct
grg	Madi	Madi	PG	Papua New Guinea	MEL	Melanesia	Pacific	380	3	380	1	Trans-New Guinea	Trans-New Guinea, Finisterre-Huon, Finisterre, Gusap-Mot	-5.6478	146.4180	8a	T	0	0	0	0	1	0
grh	Tugbiri-Niragu	Tugbiri-Niragu	NG	Nigeria	WAF	Western Africa	Africa	25000	5	25000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Kainji, Eastern, Northern Jos, Kauru	10.3446	8.4242	6a	F	0	0	1	0	0	0
gri	Ghari	Ghari	SB	Solomon Islands	MEL	Melanesia	Pacific	12100	5	12100	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Guadalcanal	-9.5047	159.7507	5	T	0	1	0	0	0	0
grj	Grebo, Southern	Southern Grebo	LR	Liberia	WAF	Western Africa	Africa	170000	6	170000	2	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kru, Western, Grebo, Liberian	4.5203	-7.7004	6a	F	0	0	1	0	0	0
grm	Kota Marudu Talantang	Kota Marudu Talantang	MY	Malaysia	SEA	South-Eastern Asia	Asia				1	Austronesian	Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Dusunic, Dusun	6.4504	116.8545	6b	F	0	0	0	1	0	0
gro	Groma	Groma	CN	China	EAS	Eastern Asia	Asia	26800	5	26800	2	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern	27.6017	88.9032	6b	F	0	0	0	1	0	0
grq	Gorovu	Gorovu	PG	Papua New Guinea	MEL	Melanesia	Pacific	15	2	15	1	Ramu-Lower Sepik	Ramu-Lower Sepik, Ramu, Grass	-4.5308	144.5907	8b	F	0	0	0	0	1	0
grr	Taznatit	Taznatit	DZ	Algeria	NAF	Northern Africa	Africa	11000	5	11000	2	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla	31.3063	-2.1683	6b	F	0	0	0	1	0	0
grs	Gresi	Gresi	ID	Indonesia	SEA	South-Eastern Asia	Asia	2500	4	2500	1	Nimboran	Nimboran	-2.7035	140.2490	8a	F	0	0	0	0	1	0
grt	Garo	Garo	IN	India	SAS	Southern Asia	Asia	1270000	7	1270000	2	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Sal, Boro-Garo	25.4297	90.5182	2	T	1	0	0	0	0	0
gru	Kistane	Kistane	ET	Ethiopia	EAF	Eastern Africa	Africa	255000	6	315500	1	Afro-Asiatic	Afro-Asiatic, Semitic, South, Ethiopian, South, Outer, n-Group	8.3131	38.5040	6a	T	0	0	1	0	0	0
grv	Grebo, Central	Central Grebo	LR	Liberia	WAF	Western Africa	Africa	49500	5	49500	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kru, Western, Grebo, Liberian	4.8628	-7.8807	6a	F	0	0	1	0	0	0
grw	Gweda	Gweda	PG	Papua New Guinea	MEL	Melanesia	Pacific	26	2	26	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D’Entrecasteaux, Are-Taupota, Taupota	-10.2202	150.4839	8a	T	0	0	0	0	1	0
grx	Guriaso	Guriaso	PG	Papua New Guinea	MEL	Melanesia	Pacific	1500	4	1500	1	Kwomtari	Kwomtari, Guriaso	-3.5059	141.6410	6b	F	0	0	0	1	0	0
